num	count	word
1252	1	saw	
1253	2	say	
1254	1	saying	
1255	1	says	
1256	4	school	
1257	1	schools	
1258	1	science	
1259	1	scientist	
1260	4	scientists	
1261	1	scores	
1262	1	scott	
1263	1	scrimped	
1264	1	seaboard	
1265	1	season	
1266	3	second	
1267	1	secrets	
1268	1	sectors	
1269	1	secure	
1270	1	secures	
1271	6	security	
1272	5	see	
1273	2	seek	
1274	1	seems	
1275	5	seen	
1276	1	sell	
1277	1	selma	
1278	1	semitism	
1279	6	send	
1280	3	sending	
1281	1	sends	
1282	4	sense	
1283	1	sensible	
1284	2	sent	
1285	1	separate	
1286	1	serve	
1287	3	served	
1288	1	serves	
1289	1	service	
1290	7	set	
1291	3	seven	
1292	1	shadow	
1293	2	shape	
1294	6	share	
1295	6	she	
1296	1	shield	
1297	2	shift	
1298	3	shores	
1299	1	shortcomings	
1300	3	shot	
1301	7	should	
1302	1	shoulder	
1303	1	show	
1304	1	showdowns	
1305	1	showing	
1306	2	shows	
1307	1	shrinking	
1308	2	shut	
1309	1	shutdowns	
1310	6	sick	
1311	2	side	
1312	1	sides	
1313	2	sights	
1314	1	signed	
1315	1	simplify	
1316	1	simply	
1317	8	since	
1318	3	single	
1319	1	sister	
1320	1	sit	
1321	6	six	
1322	1	skills	
1323	1	slashing	
1324	1	slots	
1325	1	slow	
1326	1	slowly	
1327	7	small	
1328	2	smart	
1329	1	smarter	
1330	22	so	
1331	1	social	
1332	2	solar	
1333	15	some	
1334	1	somebody	
1335	1	someone	
1336	4	something	
1337	2	son	
1338	1	sorted	
1339	1	south	
1340	2	space	
1341	1	spacecraft	
1342	2	speak	
1343	1	speaker	
1344	1	spectacularly	
1345	7	speech	
1346	3	spend	
1347	1	spirit	
1348	1	spots	
1349	1	spouses	
1350	4	spread	
1351	2	spring	
1352	1	springs	
1353	5	st	
1354	1	stake	
1355	2	stand	
1356	2	standards	
1357	1	standing	
1358	2	stands	
1359	3	start	
1360	3	starting	
1361	1	starts	
1362	4	state	
1363	1	statement	
1364	8	states	
1365	3	stay	
1366	1	steady	
1367	1	steal	
1368	1	step	
1369	1	stepping	
1370	4	steps	
1371	1	stereotypes	
1372	15	still	
1373	1	stock	
1374	1	stockpile	
1375	1	stood	
1376	3	stop	
1377	2	stopping	
1378	4	story	
1379	1	straight	
1380	1	strain	
1381	2	strategy	
1382	2	street	
1383	1	streets	
1384	3	strength	
1385	1	strengthen	
1386	1	strengthening	
1387	1	stretches	
1388	1	strides	
1389	3	striving	
1390	9	strong	
1391	5	stronger	
1392	5	student	
1393	2	students	
1394	2	succeed	
1395	2	success	
1396	1	such	
1397	1	suggested	
1398	1	sum	
1399	1	sunlight	
1400	1	superrich	
1401	3	support	
1402	3	supporting	
1403	12	sure	
1404	6	surely	
1405	1	surveillance	
1406	1	swore	
1407	2	syria	
1408	5	system	
1409	33	t	
1410	1	table	
1411	1	tables	
1412	3	take	
1413	3	taken	
1414	1	takes	
1415	2	taking	
1416	1	talk	
1417	1	targeted	
1418	1	tasks	
1419	1	tatters	
1420	1	taught	
1421	3	tax	
1422	3	taxes	
1423	1	taxpayer	
1424	1	technologies	
1425	2	technology	
1426	1	teen	
1427	1	tell	
1428	1	telling	
1429	1	tempting	
1430	3	ten	
1431	1	tend	
1432	1	tennessee	
1433	1	term	
1434	1	terror	
1435	1	terrorism	
1436	2	terrorist	
1437	5	terrorists	
1438	1	tesla	
1439	1	texas	
1440	2	text	
1441	2	th	
1442	27	than	
1443	2	thank	
1444	3	thanks	
1445	142	that	
1446	276	the	
1447	1	theft	
1448	25	their	
1449	11	them	
1450	4	then	
1451	10	there	
1452	10	these	
1453	26	they	
1454	5	thing	
1455	5	things	
1456	2	think	
1457	1	thinking	
1458	2	third	
1459	1	thirds	
1460	1	thirteen	
1461	1	thirty	
1462	61	this	
1463	10	those	
1464	1	thought	
1465	1	thousands	
1466	3	threat	
1467	1	threaten	
1468	1	threatened	
1469	1	threatens	
1470	2	threats	
1471	6	three	
1472	1	thrived	
1473	5	through	
1474	1	throughout	
1475	1	tide	
1476	4	tight	
1477	25	time	
1478	5	times	
1479	1	tired	
1480	241	to	
1481	11	today	
1482	7	together	
1483	3	told	
1484	13	tonight	
1485	11	too	
1486	3	took	
1487	3	tools	
1488	1	top	
1489	1	torture	
1490	2	touching	
1491	1	towards	
1492	2	town	
